Code,Term,RegionalTerm,Short_definition,Long_definition,Name English
SP5A (KA),vraNaSoPaH,व्रणशोफः,-,"It is characterised by swelling with yellowish discolouration, softness with pain and burning sensation. This may be explained by: (a) Vitiation of vatadosha, pittadosha, kaphadosha, blood or all the three dosha together.",Inflammation with morbid matter disorder (TM2)
SP5B (BI),rAjayakShmA,राजयक्ष्मा,-,"It is characterised by continuous low grade fever for a prolonged period of time along with dry skin, sunken cheeks and eyes, anorexia, gradual loss of strength. This may be explained by: (a) Vitiation of all three dosha (predominantly kapha) leading to obstruction of channels gradually depleting all the seven tissues.",Consumptive disorder (TM2)
SP5B (BI),rAjayakShmA,राजयक्ष्मा,-,"It is characterised by continuous low grade fever for a prolonged period of time along with dry skin, sunken cheeks and eyes, anorexia, gradual loss of strength. This may be explained by: (a) Vitiation of all three dosha (predominantly kapha) leading to obstruction of channels gradually depleting all the seven tissues.",Consumptive disorder (TM2)
SP60 (EF-2.4.4),madhumehaH/kShaudramehaH,मधुमेहः/क्षौद्रमेहः,-,"It is characterised by Increased thirst, increased urination, sweet urine, debility. This may be explained by: (a) Increased quantity of urine is due to the association of corrupted element with the watery element of the body, while the turbidity of urine is due to the specific conjunction of dosha and primary structural components of the body.",Diabetes mellitus disorder (TM2)
SP61 (AAB-29),kArSyam (kEvalavAta),कार्श्यम् (केवलवात),-,"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta.",Emaciation disorder (TM2)
SP62(BD-2),medovRuddhiH,मेदोवृद्धिः,-,"It is characterised by generalized increase of fatty tissue in the body and may be associated with hyperlipidemia. This may be explained by: (a) Impaired digestive and metabolic factors related to fat tissue, deranged vata, kapha",High fat disorder (TM2)
SP63 (EK-2),tRuShNA,तृष्णा,-,It is characterised by the feeling of extreme thirst and difficulty in quenching the thirst. This may be explained by: (a) Pittadosha and vatadosha increases which desiccates the bodily placid and balghamatic elements.,Polydipsia disorder (TM2)
SP64 (EF-3),medorogaH,मेदोरोगः,-,It is characterised by excessive generalized accumulation of fat. This may be explained by: (a) increased kaphadosha and fat tissue.,Obesity disorder (TM2)
SP70 (EE-4.4),medojagranthiH,मेदोजग्रन्थिः,-,"It is characterised by solitary or multiple soft lipoid lump like swellings under the skin. This may be explained by: (a) Deranged digestive and metabolic factors, vitiation of kapha and fatty tissue.",Lipoma disorder (TM2)
SP71 (EE-4),granthiH,ग्रन्थिः,-,"It is characterised by movable swelling with varying size from gram seed to watermelon. May be of different characters and constitutional symptoms. This may be explained by: (a) Involvement of all the three vitiated humours, seven elementary tissues.",Benign tumour disorder (TM2)
SP72 (EE-2),arbudaH,अर्बुदः,-,"It is characterised by uncontrolled spreading of swellings associated with multiple constitutional symptoms like weight loss, severe exhaustion. This may be explained by: (a) Involvement of all the three vitiated humours, seven elementary tissues.",Deep rooted spreading tumour disorder (TM2)
SP90 (EI-4.13),vidradhiH (SUkarogaH),विद्रधिः (शूकरोगः),-,"It is characterised by pain, swelling, redness of the affected part, discharge of the pus. This may be explained by: (a) Aggravation of pittadosha affecting skin, fat, muscle tissue resulting in swelling and suppuration.",Abscess disorder (TM2)
SP91 (EK-3.17),sarvasara-SothaH,सर्वसर-शोथः,-,"It is characterised by generalized oedema of the body. This may be explained by: (a) Vitiated blood, pitta and kapha obstruct the movement of vata leading to the generalized swelling.",Generalised oedema disorder (TM2)
SP92 (EK-3),SvayathuH/SothaH/SoPaH,श्वयथुः/शोथः/शोफः,-,"It is characterised by painless soft swelling with pitting on the site of swelling and heaviness. This may be explained by: (a) Vitiation digestive and metabolic factors, all the three humours and water carrying channels.",Oedema disorder (TM2)
SP93(BH),ojovaiShamyam,ओजोवैषम्यम्,-,It is characterised by overall decrease of health leading to impaired immunity resulting in susceptibility to disease. This may be explained by: (a) Ojas gets vitiated by dosha and affecting the whole body.,Impaired immunity disorder (TM2)
SP95 (AAB-41),jRumBA (kEvalavAta),जृम्भा (केवलवात),-,It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.,Excessive yawning disorder (TM2)
SP96(ACB-3),Alasyam (kEvala-kapha),आलस्यम् (केवल-कफ),-,It is characterised by unwillngness to take be physically active and avoiding engaging in mentally active activities. This may be explained by: (a) Excess kapha obstruting the mental faculties and pitta for intellect.,Laziness disorder (TM2)
SP97 (AAB-26),klamaH (kEvalavAta),क्लमः (केवलवात),-,"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas.",Severe fatigue disorder (TM2)
SP98 (EM-7),mUrcCA,मूर्च्छा,-,"It is characterised by temporary loss of consiousness, pale face, cold extremities, nausea. This may be explained by: (a) Vitiation of pittadosha involving rajas and tamas.",Syncope disorder (TM2)
SP99(ED-2.2),kaNDUH,कण्डूः,-,"It is characterised by itching of the body without the appearance of eruptions or rashes. This may be explained by: (a) Excess of vitiated kapha, pitta affecting the skin",Pruritus disorder (TM2)
SP9A (MD-11),daurbalyam,दौर्बल्यम्,-,"It is characterised by exhaustion, loss of complexion. This may be explained by: (a) Weakness of primary structural components of the body.",General debility disorder (TM2)
SQ,puTapAka-apacAraH,पुटपाक-अपचारः,-,-,complication of puṭapāka
SQ-1,puTapAka-hInayogaH,पुटपाक-हीनयोगः,-,"the disorder is characterized by nētrapākaḥ [inflammation/suppuration of eyes], aśruḥ [lacrimation], harṣaṇam [type of pain where internal cooling is felt], dōṣōdgamaḥ [apperance of dōṣa]",inadequate puṭapāka
SQ-2,puTapAka-atiyogaH,पुटपाक-अतियोगः,-,"the disorder is characterized by rujā [Pain], śōphaḥ [oedema], piḍakā [papule/ eruptions], timirōdgamaḥ [appearance of timira/ partial blindness]",over application of puṭapāka
SQ00 (AAB-1),atipralApaH (kEvalavAta),अतिप्रलापः (केवलवात),-,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",Delirium disorder (TM2)
SQ01(ED-2.14),buddhisaMmohaH,बुद्धिसंमोहः,-,It is characterised by mental confusion and hallucinations. This may be explained by: (a) Vitiation of blood.,Hallucination disorder (TM2)
SQ03 (EM-2),unmAdaH,उन्मादः,-,"It is characterised by confused state of mind, change in behaviour, irritability, loss of intelligence,. This may be explained by: (a) Caused by the aggravated dosha vitiating the sense organs, mind and intellect.",Insanity disorder (TM2)
SQ04 (EM-2.4),kaPaja-unmAdaH,कफज-उन्मादः,-,"It is characterised by mental confusion, fear, sadness, depression, may be associated with altered sleep patterns. This may be explained by: (a) Grief causing vitiation of the vata, kapha leading to the depression of mental faculty.",Depressive disorder (TM2)
SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),अनवस्थितचित्तत्वम् (केवलवात),-,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.","Lack of concentration, confusion disorder (TM2)"
SQ10 (EM-9),mana-santApaH,मन-सन्तापः,-,"It is characterised by mild fever, confusion, restlessness, anxiety, mind and body fatigue. This may be explained by: (a) Agitated rajoguna, tamoguna leading to.",Anxiety ephemeral fever disorder (TM2)
SQ20 (EM-5),madAtyayaH/pAnAtyayaH,मदात्ययः/पानात्ययः,-,"It is characterised by confusion, tremors, headache, altered cognitive, intellectual functions, may be associated with fever. This may be explained by: (a) Vitiated pitta further accecting Vata.",Alcoholism disorder (TM2)
SQ24 (RA-1),nidrAnASaH/asvapnaH,निद्रानाशः/अस्वप्नः,-,"It is characterised by loss of sleep, heaviness of head, body pain. This may be explained by: (a) It is caused due to increased vata.",Insomnia disorder (TM2)
SQ40(ACB-18),nidrAdhikyam (kEvala-kapha),निद्राधिक्यम् (केवल-कफ),-,"It is characterised by excess, prolonged deep sleep. This may be explained by: (a) Deranged digestive and metabolic factors, increased kapha and decreased vata.",Hypersomnia disorder (TM2)
SQ41 (EM-2.3),pittaja-unmAdaH,पित्तज-उन्मादः,-,"It is characterised by violent behaviour, pacing, intentional loneliness, unwarranted suspicion dryness of tongue along with emaciation and non-healing ulcers of calf muscles. This may be explained by: (a) Vitiation of pitta, rajoguna.",Lycanthropy disorder (TM2)
SQ50 (N),kRumiH/sa~jjAtakRumi,कृमिः/सञ्जातकृमि,-,"It is characterised by pain in the abdomen, excessive salivation, grinding of teeth during sleep, decreased or increased appetite, nausea after meals. This may be explained by: (a) Excessively consumed substances such as blackgram, jaggery, meat, milk etc., it causes vitiated kapha which makes the situation conducive for infestation and growth of infestation.",Worm infestation disorder (TM2)
SQ60 (PE-1.17),Sa~gkhaviShaH,शङ्खविषः,-,"It is characterised by sweating, tremor, dryness of mouth, vomiting, fever. This may be explained by: (a) Rajas and tamas affecting the mind.",Pseudo poisoning disorder (TM2)
SQ61 (PE-4.8),garaviShaH,गरविषः,-,"It is characterised by palor, emaciation, swelling of body parts. This may be explained by: (a) Impairment of functioning of ojas due to poison.",Artificial poison disorder (TM2)
SQ80 (Q-1),hInamAtrAhAraH,हीनमात्राहारः,-,"It is characterised by altered appetite, weakness, emaciation, lack of concentration. This may be explained by: (a) Vitiation of Vata, leading to decreased body strength.",Inadequate diet disorders (TM2)
SR,parihArakAla-vyApadaH/aparihArasevana,परिहारकाल-व्यापदः/अपरिहारसेवन,-,-,complications during convalesce
